Assignment_ID;ROI_ring;DB_Status;DB_Status_Date_Active;DB_Status_Date_Inactive
AID_20260105T163630906199Z_DSYCGAS7F5GR;2;Active;05-01-2026 16:37;
AID_20260105T163630955945Z_QQRP6UQNPVHR;1;Active;05-01-2026 16:37;
AID_20260105T163631004510Z_4ODKOAQ4CBHW;0;Active;05-01-2026 16:37;
AID_20260105T163631057085Z_7DYO7N7YCNC4;0;Active;05-01-2026 16:37;
AID_20260105T163631109809Z_EFOZPFJ47NEW;0;Active;05-01-2026 16:37;
AID_20260105T163631162850Z_TCMH6MMDRNH3;0;Active;05-01-2026 16:37;
AID_20260105T163631220796Z_DO6RIPCV3NFN;0;Active;05-01-2026 16:37;
AID_20260105T163631277474Z_42HNNXVNZ5GU;1;Active;05-01-2026 16:37;
AID_20260105T163631334667Z_RWBVMNAOJZGD;0;Active;05-01-2026 16:37;
AID_20260105T163631387476Z_CARHEGTBKRDR;0;Active;05-01-2026 16:37;
AID_20260105T163631441296Z_HEY2BG6GBFCF;0;Active;05-01-2026 16:37;
AID_20260105T163631492530Z_TYWQYVJ2JBFE;0;Active;05-01-2026 16:37;
AID_20260105T163631543289Z_ASGD6PG2FRFY;0;Active;05-01-2026 16:37;
AID_20260105T163631592066Z_RA3VWIPXMRDA;1;Active;05-01-2026 16:37;
AID_20260105T163631639626Z_RU5ACW7XERCC;0;Active;05-01-2026 16:37;
AID_20260105T163631690528Z_JL7Q6A5FT5CW;0;Active;05-01-2026 16:37;
AID_20260105T163631744678Z_QZJUQDVPNZHS;0;Active;05-01-2026 16:37;
AID_20260105T163631811857Z_RTYQIMUN3ZHM;1;Active;05-01-2026 16:37;
AID_20260105T163631876020Z_FBF56V3DSBHV;0;Active;05-01-2026 16:37;
AID_20260105T163631933642Z_23CZBDCTFFH4;0;Active;05-01-2026 16:37;
AID_20260105T163631985467Z_H3OHNQMZDBGR;0;Active;05-01-2026 16:37;
AID_20260105T163632039472Z_4PSZOPJCIJA4;0;Active;05-01-2026 16:37;
AID_20260105T163632093855Z_EKUE3GUDVFGG;0;Active;05-01-2026 16:37;
AID_20260105T163632145590Z_EV7AJNJKNNBH;0;Active;05-01-2026 16:37;
AID_20260105T163632197739Z_UM5PB5NLXNHS;0;Active;05-01-2026 16:37;
AID_20260105T163632248910Z_MVE7CECARNEK;0;Active;05-01-2026 16:37;
AID_20260105T163632302273Z_FVGMPE4QXZGS;0;Active;05-01-2026 16:37;
AID_20260105T163632353823Z_3UXSAUDQ4NDJ;0;Active;05-01-2026 16:37;
AID_20260105T163632450683Z_ZK6EA2LUCVEI;0;Active;05-01-2026 16:37;
AID_20260105T163632527874Z_UF4SKXQAXNGF;0;Active;05-01-2026 16:37;
AID_20260105T163632580522Z_2MOWUQDSWRGX;0;Active;05-01-2026 16:37;
AID_20260105T163632634013Z_Y3N7HGTANJEB;3;Active;05-01-2026 16:37;
AID_20260105T163632700371Z_QGLLQMYGZ5ER;0;Active;05-01-2026 16:37;
AID_20260105T163632784540Z_SAIJUBTRGVBF;0;Active;05-01-2026 16:37;
AID_20260105T163632845862Z_FXSAPQVPEZD6;0;Active;05-01-2026 16:37;
AID_20260105T163632903574Z_JRDY26YJ4RGI;0;Active;05-01-2026 16:37;
AID_20260105T163632959052Z_DCY2OQITUBHP;0;Active;05-01-2026 16:37;
AID_20260105T163633016376Z_6SKNLVEVUVGG;1;Active;05-01-2026 16:37;
AID_20260105T163633070928Z_6AJXAC6QCZEO;0;Active;05-01-2026 16:37;
AID_20260105T163633133230Z_QWH2TTF2L5AZ;0;Active;05-01-2026 16:37;
AID_20260105T163633186064Z_6JAD2SNPHVB5;0;Active;05-01-2026 16:37;
AID_20260105T163633242303Z_FPHAG233T5ER;0;Active;05-01-2026 16:37;
AID_20260105T163633296204Z_BJAJT6RGBJHG;0;Active;05-01-2026 16:37;
AID_20260105T163633349851Z_J4NF46S35JHS;0;Active;05-01-2026 16:37;
AID_20260105T163633464133Z_HAVEFNBUDJFI;0;Active;05-01-2026 16:37;
AID_20260105T163633520202Z_GWJ6IWZWUZB6;0;Active;05-01-2026 16:37;
AID_20260105T163633577052Z_DAA6UI3UCVFV;0;Active;05-01-2026 16:37;
AID_20260105T163633633791Z_6C3XCTYOW5HM;0;Active;05-01-2026 16:37;
AID_20260105T163633691315Z_ZRJJAMDLONE2;1;Active;05-01-2026 16:37;
AID_20260105T163633750638Z_NTRTHJUA2NA3;0;Active;05-01-2026 16:37;
AID_20260105T163633811052Z_LEMIKLAVKRF6;0;Active;05-01-2026 16:37;
AID_20260105T163633873551Z_N72NU2LMW5HG;0;Active;05-01-2026 16:37;
AID_20260105T163633935897Z_UMTZV2VVQVEI;0;Active;05-01-2026 16:37;
AID_20260105T163633993151Z_R2XDGEVKHVE6;0;Active;05-01-2026 16:37;
AID_20260105T163634048216Z_7MPUMJW6HVAS;0;Active;05-01-2026 16:37;
AID_20260105T163634106691Z_WFKWKE7FGVAJ;0;Active;05-01-2026 16:37;
AID_20260105T163634167394Z_MF2I7RAZSJEQ;0;Active;05-01-2026 16:37;
AID_20260105T163634224527Z_573SFSA6Q5DF;0;Active;05-01-2026 16:37;
AID_20260105T163634286294Z_CPVTWUPQOREU;0;Active;05-01-2026 16:37;
AID_20260105T163634346100Z_PUGJ7ZM44FBZ;0;Active;05-01-2026 16:37;
AID_20260105T163634409811Z_RCFKYAWFSBEL;0;Active;05-01-2026 16:37;
AID_20260105T163634466637Z_XLJRSWRXXFDY;0;Active;05-01-2026 16:37;
AID_20260105T163634526364Z_AFEEBKEDKJHX;0;Active;05-01-2026 16:37;
AID_20260105T163634586862Z_OE6K6XGBMRFZ;0;Active;05-01-2026 16:37;
