as_code;as_cx_wgs;as_cy_wgs;as_blx_wgs;as_bly_wgs;as_tlx_wgs;as_tly_wgs;as_trx_wgs;as_try_wgs;as_brx_wgs;as_bry_wgs;as_parent_oas
TGB101_10kmX4150000000Y3060000000Z0;7.6513641335;50.6727405245;7.5829845215;50.626356406;7.578346682;50.7161977521;7.7198776695;50.7190838687;7.7242449151;50.6292361719;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4250000000Y3000000000Z0;9.0765588112;50.1535172493;9.007544314;50.1079790234;9.0056707457;50.1978802409;9.1457046765;50.1990132347;9.1473144511;50.1091095617;TGB101_50kmX4250000000Y3000000000Z0
TGB101_10kmX4080000000Y2970000000Z0;6.7183738894;49.8400838629;6.6520590384;49.7931478272;6.6458022506;49.8829594951;6.7848161113;49.8869809792;6.7908144518;49.7971606848;TGB101_50kmX4050000000Y2950000000Z0
TGB101_10kmX4140000000Y2910000000Z0;7.5790973096;49.3219072517;7.5126528713;49.2754683491;7.508078353;49.3653443359;7.6456664695;49.3683065089;7.6499888654;49.2784242622;TGB101_50kmX4100000000Y2900000000Z0
TGB101_10kmX4230000000Y3010000000Z0;8.7944938752;50.2408064509;8.7256235554;50.195099369;8.7232111916;50.2849921328;8.8634959721;50.2864715927;8.8656433967;50.1965756144;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4210000000Y2920000000Z0;8.5389668863;49.428416989;8.4714764621;49.3825476032;8.4686557447;49.4724569944;8.6065834473;49.4742454204;8.6091502665;49.3843322364;TGB101_50kmX4200000000Y2900000000Z0
TGB101_10kmX4210000000Y2960000000Z0;8.528090968;49.7880394869;8.460114501;49.74216794;8.457240761;49.8320660309;8.5961959384;49.833869811;8.5988110115;49.7439678538;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4120000000Y3000000000Z0;7.2586865224;50.1243231038;7.1914613551;50.0777041266;7.1861651725;50.1675396412;7.3260414558;50.1709022518;7.3310749739;50.0810594604;TGB101_50kmX4100000000Y3000000000Z0
TGB101_10kmX4280000000Y3040000000Z0;9.4924511703;50.5157551479;9.4225115043;50.4704727009;9.4214087438;50.5603710355;9.5625250114;50.5609944901;9.5633588316;50.4710947894;TGB101_50kmX4250000000Y3000000000Z0
TGB101_10kmX4150000000Y3020000000Z0;7.6692041037;50.3133432554;7.601316957;50.2669670217;7.5967663884;50.3568180766;7.7372226646;50.3596789763;7.7415077202;50.269821694;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4210000000Y3020000000Z0;8.5113904236;50.3273932103;8.4426680457;50.2815173013;8.4397120513;50.371400107;8.5802449754;50.3732274827;8.5829349055;50.2833406964;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4260000000Y2890000000Z0;9.2323087497;49.1654527611;9.1645337372;49.1199956453;9.1630044382;49.2099292644;9.3002086634;49.2108682385;9.301487315;49.1209326433;TGB101_50kmX4250000000Y2850000000Z0
TGB101_10kmX4180000000Y3050000000Z0;8.0792999406;50.5907454536;8.010618623;50.5446142003;8.0068110859;50.6344757119;8.1481149516;50.6368354287;8.1516528635;50.5469687366;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4240000000Y2920000000Z0;8.9524064889;49.4330183552;8.8845233368;49.3873965678;8.8824644949;49.4773162648;9.0204160918;49.4785986518;9.0222208669;49.3886762347;TGB101_50kmX4200000000Y2900000000Z0
TGB101_10kmX4080000000Y3060000000Z0;6.6620413817;50.6483113064;6.5946743382;50.6013479498;6.5881460803;50.691134185;6.7295412824;50.6952352206;6.7357999296;50.6054399727;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4160000000Y3060000000Z0;7.7927675342;50.6755367101;7.7242449151;50.6292361719;7.7198776695;50.7190838687;7.8614242162;50.7217962832;7.865520755;50.6319426171;TGB101_50kmX4150000000Y3050000000Z0
TGB101_10kmX4290000000Y2980000000Z0;9.6375714019;49.9768490564;9.5682797167;49.931648576;9.5674692034;50.0215622747;9.7069936031;50.0220067045;9.7075426724;49.9320920476;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4260000000Y2950000000Z0;9.2237667989;49.7050082117;9.1552508775;49.6595534427;9.1536784175;49.7494698871;9.2924111438;49.7504209185;9.2937258839;49.6605024403;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4210000000Y2980000000Z0;8.5225763704;49.9678342866;8.4543535421;49.9219614355;8.4514527533;50.0118542094;8.5909289093;50.0136657784;8.5935685986;49.9237691007;TGB101_50kmX4200000000Y2950000000Z0
TGB101_10kmX4090000000Y3070000000Z0;6.7971744372;50.7421195674;6.7295412824;50.6952352206;6.7232527148;50.7850279499;6.8649412433;50.7889642213;6.8709587546;50.6991628162;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4170000000Y3020000000Z0;7.9498807168;50.3187148116;7.881713489;50.2725045525;7.8776940552;50.3623676883;8.0181796252;50.3648841835;8.0219333353;50.2750155685;TGB101_50kmX4150000000Y3000000000Z0
TGB101_10kmX4240000000Y3050000000Z0;8.9265133424;50.6017697547;8.856992347;50.5561456142;8.8548037876;50.6460325032;8.9961687454;50.647351475;8.9980872375;50.5574616889;TGB101_50kmX4200000000Y3050000000Z0
TGB101_10kmX4220000000Y3080000000Z0;8.6362329489;50.8684239834;8.5666019397;50.8226275203;8.5638340318;50.9125011382;8.7060000748;50.9141781887;8.7084941407;50.8243008573;TGB101_50kmX4200000000Y3050000000Z0
TGB101_10kmX4270000000Y2980000000Z0;9.3587902282;49.9756196711;9.289763153;49.9302499613;9.288429819;50.0201606383;9.4279476375;50.0209469171;9.4290195745;49.9310345451;TGB101_50kmX4250000000Y2950000000Z0
TGB101_10kmX4300000000Y3000000000Z0;9.7761253673;50.1570327081;9.7064419468;50.1119188925;9.7058876857;50.2018286678;9.8459406246;50.202103353;9.8462309557;50.1121929823;TGB101_50kmX4300000000Y3000000000Z0
TGB101_10kmX4240000000Y3000000000Z0;8.9366600963;50.1522997598;8.8677807114;50.1066772241;8.8656433967;50.1965756144;9.0056707457;50.1978802409;9.007544314;50.1079790234;TGB101_50kmX4200000000Y3000000000Z0
TGB101_10kmX4270000000Y3050000000Z0;9.3502311968;50.604942315;9.2802963896;50.559574411;9.2789181734;50.6494688486;9.4203007223;50.6502672272;9.4214087438;50.5603710355;TGB101_50kmX4250000000Y3050000000Z0
TGB101_10kmX4080000000Y3050000000Z0;6.6684196521;50.5585192275;6.6011716059;50.5115590991;6.5946743382;50.6013479498;6.7357999296;50.6054399727;6.7420288607;50.5156421535;TGB101_50kmX4050000000Y3050000000Z0
TGB101_10kmX4120000000Y2920000000Z0;7.2992410308;49.4055176421;7.2329500778;49.358915682;7.2278480973;49.4487748831;7.365657015;49.4520802524;7.370505935;49.3622140497;TGB101_50kmX4100000000Y2900000000Z0
TGB101_10kmX4130000000Y3050000000Z0;7.373637736;50.5767954025;7.3056679474;50.530247125;7.3005138911;50.6200770401;7.4417405289;50.6233033509;7.4466255185;50.5334663581;TGB101_50kmX4100000000Y3050000000Z0
TGB101_10kmX4080000000Y3010000000Z0;6.6936322874;50.1993241893;6.6268549693;50.1523764907;6.62047957;50.2421763289;6.7605393741;50.2462327391;6.766651448;50.1564241057;TGB101_50kmX4050000000Y3000000000Z0
TGB101_10kmX4110000000Y3010000000Z0;7.1135106042;50.2107089317;7.0463074654;50.1640057213;7.0407224974;50.2538308338;7.1808439718;50.2573724371;7.1861651725;50.1675396412;TGB101_50kmX4100000000Y3000000000Z0
TGB101_10kmX4120000000Y3050000000Z0;7.2325547931;50.5734861149;7.1647285515;50.5268550502;7.1593055609;50.6166775087;7.3005138911;50.6200770401;7.3056679474;50.530247125;TGB101_50kmX4100000000Y3050000000Z0
TGB101_10kmX4290000000Y2880000000Z0;9.6442132229;49.0775725196;9.5761803422;49.032363183;9.575406644;49.1223047076;9.7123706931;49.1227397603;9.7128948221;49.0327973224;TGB101_50kmX4250000000Y2850000000Z0
