SOB_ID;DB_Status;SOB_as_code;SOB_ring;DB_Status_Date_Active;DB_Status_Date_Inactive
SOB_20260105T163218725688Z_2UGFYK4BOBH3;Active;TGB101_10mX4197540000Y2988210000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725848Z_CQFXVM43KRFG;Active;TGB101_10mX4196960000Y2989310000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218725997Z_T2CLUXM34FFJ;Active;TGB101_10mX4197270000Y2989270000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726151Z_NQJYUG2SDJDD;Active;TGB101_10mX4197500000Y2988300000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726305Z_OH5WEMYIEJFG;Active;TGB101_10mX4196320000Y2990270000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726455Z_XDMNUCY3NJG6;Active;TGB101_10mX4195340000Y2990390000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726616Z_ESKKL7GQMNA7;Active;TGB101_10mX4186360000Y2980060000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726770Z_UPSOEVQHTBG3;Active;TGB101_10mX4192450000Y2988930000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218726920Z_MVR4SFUS6VAN;Active;TGB101_10mX4192250000Y2989160000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218727069Z_GSFIDBZPHRDG;Active;TGB101_10mX4194590000Y2988660000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218727239Z_5XOCWS2MLNH3;Active;TGB101_10mX4194610000Y2988620000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218727553Z_ALZ6GKFZ2RFV;Active;TGB101_10mX4198380000Y2986320000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218727786Z_RODP7TZT45HC;Active;TGB101_10mX4194010000Y2990090000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218728008Z_DSQEIRYFVJHE;Active;TGB101_10mX4194020000Y2990130000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218728232Z_7BLTD2NFUFAP;Active;TGB101_10mX4198750000Y2989870000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218728495Z_CQYKZYR6XREB;Active;TGB101_10mX4190330000Y2988230000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218728757Z_AJEIQQ73IJAZ;Active;TGB101_10mX4201030000Y2979720000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218728995Z_GMBSIIPXQNHE;Active;TGB101_10mX4196210000Y2997210000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729190Z_VIYFJQ6FRNDX;Active;TGB101_10mX4198770000Y2989910000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729348Z_RWM4ZISYJZHA;Active;TGB101_10mX4195740000Y2987710000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729504Z_BWNJSFEZORD5;Active;TGB101_10mX4195130000Y2986610000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729650Z_56KSOBMZIVDC;Active;TGB101_10mX4195370000Y2987140000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729799Z_XJH2P3ENFFDC;Active;TGB101_10mX4181180000Y2968030000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218729946Z_UH2EOJPBINF6;Active;TGB101_10mX4195290000Y2988800000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730090Z_ZO5QULZFBREH;Active;TGB101_10mX4194510000Y2988540000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730243Z_MFPN53BPMZEB;Active;TGB101_10mX4194650000Y2991510000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730385Z_JIP73DHQ4RBH;Active;TGB101_10mX4185670000Y2988790000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730530Z_CFEAAR4KXFFK;Active;TGB101_10mX4199330000Y2989010000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730676Z_RCWJPW62SZB6;Active;TGB101_10mX4194440000Y2989170000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730817Z_I2MP5FVZLBD2;Active;TGB101_10mX4193180000Y2988720000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218730967Z_TKQYB7Q7IBFJ;Active;TGB101_10mX4192020000Y2988970000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731109Z_UKCOKMZEKRFC;Active;TGB101_10mX4191680000Y2986440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731254Z_DU7ZRQVDZJB3;Active;TGB101_10mX4195070000Y2986930000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731398Z_DQ4736WODJBT;Active;TGB101_10mX4194820000Y2979380000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731539Z_PPU767CHLJF4;Active;TGB101_10mX4194850000Y2987120000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731687Z_ZUMT4WZQDRH5;Active;TGB101_10mX4196890000Y2989810000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731835Z_PWJ6FI4WNBGZ;Active;TGB101_10mX4199790000Y2980850000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218731976Z_RX2GXAQMMRH6;Active;TGB101_10mX4195130000Y2990200000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732129Z_JRFNDJDBONAF;Active;TGB101_10mX4197460000Y2988920000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732283Z_LH2FVW6HE5BN;Active;TGB101_10mX4197290000Y2988560000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732426Z_Q64ZEXDDGNG2;Active;TGB101_10mX4195050000Y2979430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732567Z_L7QGESIAUZEH;Active;TGB101_10mX4196500000Y2988770000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732712Z_MNO54FR4YBER;Active;TGB101_10mX4199290000Y2987010000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218732854Z_BIS4PI4TL5HQ;Active;TGB101_10mX4197420000Y2988430000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733008Z_Z3CQAGUXO5DI;Active;TGB101_10mX4197080000Y2989100000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733150Z_4HQZZQET6BD5;Active;TGB101_10mX4194220000Y2999220000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733295Z_76Q67EKIPZDS;Active;TGB101_10mX4196800000Y2989610000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733441Z_QMTJJ4U2MFBU;Active;TGB101_10mX4195560000Y2990440000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733584Z_G7KWJ3SOS5HI;Active;TGB101_10mX4196090000Y2989600000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733734Z_H233JVTSQ5HO;Active;TGB101_10mX4196560000Y2989130000Z0;0;2026-01-05 16:32:23;
SOB_20260105T163218733876Z_DIDRSOI7NNE3;Active;TGB101_10mX4198940000Y2987390000Z0;0;2026-01-05 16:32:23;
